50838;44;46000;20/01/2023;T05
50838;44;46000;22/01/2023;RF1
50838;44;46000;23/01/2023;T05
50838;44;46000;24/01/2023;T05
50838;44;46000;25/01/2023;T05
50838;44;46000;26/01/2023;T05
50838;44;46000;27/01/2023;T05
50838;44;46000;30/01/2023;MNN
50838;44;46000;31/01/2023;MNN
50838;44;46000;01/02/2023;MNN
50838;44;46000;02/02/2023;MNN
50838;44;46000;03/02/2023;MNN
50838;44;46000;07/02/2023;T05
50838;44;46000;08/02/2023;T05
50838;44;46000;09/02/2023;T05
50838;44;46000;10/02/2023;T05
50838;44;46000;13/02/2023;T05
50838;44;46000;14/02/2023;T05
50838;44;46000;15/02/2023;T05
50838;44;46000;16/02/2023;T05
50838;44;46000;17/02/2023;T05
50838;44;46000;20/02/2023;MNN
50838;44;46000;21/02/2023;MNN
50838;44;46000;22/02/2023;MNN
50838;44;46000;23/02/2023;MNN
50838;44;46000;24/02/2023;MNN
50838;44;46000;26/02/2023;RF1
50838;44;46000;27/02/2023;T05
50838;44;46000;28/02/2023;T05
50838;44;46000;01/03/2023;T05
50838;44;46000;02/03/2023;T05
50838;44;46000;03/03/2023;T05
50838;44;51509;02/01/2023;T05
50838;44;51509;03/01/2023;T05
50838;44;51509;04/01/2023;T05
50838;44;51509;05/01/2023;T05
50838;44;51509;09/01/2023;MNN
50838;44;51509;10/01/2023;MNN
50838;44;51509;11/01/2023;MNN
50838;44;51509;12/01/2023;MNN
50838;44;51509;13/01/2023;MNN
50838;44;51509;15/01/2023;RF1
50838;44;51509;16/01/2023;T05
50838;44;51509;17/01/2023;T05
50838;44;51509;18/01/2023;T05
50838;44;51509;19/01/2023;T05
50838;44;51509;20/01/2023;T05
50838;44;51509;23/01/2023;MNN
50838;44;51509;24/01/2023;MNN
50838;44;51509;25/01/2023;MNN
50838;44;51509;26/01/2023;MNN
50838;44;51509;27/01/2023;MNN
50838;44;51509;29/01/2023;RF1
50838;44;51509;30/01/2023;T05
50838;44;51509;31/01/2023;T05
50838;44;51509;01/02/2023;T05
50838;44;51509;02/02/2023;T05
50838;44;51509;03/02/2023;T05
50838;44;51509;06/02/2023;MNN
50838;44;51509;07/02/2023;MNN
50838;44;51509;08/02/2023;MNN
50838;44;51509;09/02/2023;MNN
50838;44;51509;10/02/2023;MNN
50838;44;51509;12/02/2023;RF1
50838;44;51509;13/02/2023;T05
50838;44;51509;14/02/2023;T05
50838;44;51509;15/02/2023;T05
50838;44;51509;16/02/2023;T05
50838;44;51509;17/02/2023;T05
50838;44;51509;20/02/2023;MNN
50838;44;51509;21/02/2023;MNN
50838;44;51509;22/02/2023;MNN
50838;44;51509;23/02/2023;MNN
50838;44;51509;24/02/2023;MNN
50838;44;51509;27/02/2023;T05
50838;44;51509;28/02/2023;T05
50838;44;51509;01/03/2023;T05
50838;44;51509;02/03/2023;T05
50838;44;51509;03/03/2023;T05
50838;44;45987;02/01/2023;MNN
50838;44;45987;03/01/2023;MNN
50838;44;45987;04/01/2023;MNN
50838;44;45987;05/01/2023;MNN
50838;44;45987;08/01/2023;RF1
50838;44;45987;09/01/2023;T05
50838;44;45987;10/01/2023;T05
50838;44;45987;11/01/2023;T05
50838;44;45987;12/01/2023;T05
50838;44;45987;13/01/2023;T05
50838;44;45987;16/01/2023;MNN
50838;44;45987;17/01/2023;MNN
50838;44;45987;18/01/2023;MNN
