Hora,Tractora,Remolque
06:00,8028-JPC,
08:00,5822-LWS-JOSE,
08:00,8740-HTX,R-8035-BBJ
10:00,8487-KSD,R-9568-BCC
12:00,3278-LWT,R-0154-BDC
12:00,8108-JPK,/
12:00,,
13:00,7599-KWL,R-2815-BCP
13:00,,
13:00,,
14:00,,
15:00,1878-MLL,R-0107-BDN
16:00,,
16:00,,
16:00,,
18:00,,
