Hora,Tractora,Remolque
07:00,,
08:00,5822-LWS,
10:00,1285,
10:00,1285,
11:00,8328-LXW,R-3797-BCD
11:00,2574-HTD,R-0029-BCN
12:00,3278-LWT,R-0154-BDC
12:00,7079-LFM,R-4822-BCG
12:00,L-209294,
13:00,1841-LKD,R-5877-BCS
13:00,5820-KZZ,R-7806-BCN
13:00,L-198964,
14:00,,
14:00,,
14:00,,
18:00,,
