Hora,Tractora,Remolque
08:00,2526-JSP,R-0072-BCS
09:00,2371-FHF,
09:00,9527-MJL,R-1282-BCP
10:00,9108-LTG,R-1049-BDJ
10:00,7562-BBM,R-1747-BCF
10:00,2028-LPY,R-5282-BDH
11:00,4565-MHJ,R-0442-BCD
11:00,3122-JTW,R-9132-BCK
11:00,3973-MBD,R-2765-BCX
12:00,2587-JSF,R-1376-BCV
12:00,7183-LLD,R-0817-BBP
12:00,LE-2610,
13:00,0706-KLM,R-7363-BDF
13:00,18-NG-41,R-6765-BDN
14:00,,
14:00,3717-KBT,/
15:00,6458-KFZ,/
15:00,4090-JBL,/
16:00,,
16:00,,
16:00,,
18:00,,
18:00,,
